wafer_layout,component_sk,ucs_die_x,ucs_die_y,ucs_flash_x,ucs_flash_y,ucs_die_in_flash_x,ucs_die_in_flash_y,ucs_die_origin_x,ucs_die_origin_y,ucs_flash_wafer_layout_sk,ucs_die_wafer_layout_sk,metrology17_site,sort_die_x,sort_die_y,sort_test_flag,wet_flash_x,wet_flash_y
product,90001838,-16,-5,-6,-1,2,0,-123721.8,-52355.95,90172468,96393748,,3,29,T,2,4
product,90001838,-16,-4,-6,-1,2,1,-123721.8,-45796.49,90172468,96393749,,3,28,T,2,4
product,90001838,-16,-3,-6,-1,2,2,-123721.8,-39237.03,90172468,96393750,,3,27,T,2,4
product,90001838,-16,-2,-6,-1,2,3,-123721.8,-32677.57,90172468,96393751,,3,26,T,2,4
product,90001838,-16,-1,-6,-1,2,4,-123721.8,-26118.11,90172468,96393752,,3,25,T,2,4
product,90001838,-16,0,-6,0,2,0,-123721.8,-19558.65,90172469,96393763,11,3,24,T,2,5
product,90001838,-16,1,-6,0,2,1,-123721.8,-12999.19,90172469,96393764,11,3,23,T,2,5
product,90001838,-16,2,-6,0,2,2,-123721.8,-6439.73,90172469,96393765,11,3,22,T,2,5
product,90001838,-16,3,-6,0,2,3,-123721.8,119.73,90172469,96393766,11,3,21,T,2,5
product,90001838,-16,4,-6,0,2,4,-123721.8,6679.19,90172469,96393767,11,3,20,T,2,5
product,90001838,-16,5,-6,1,2,0,-123721.8,13238.65,90172470,96393778,,3,19,T,2,6
product,90001838,-16,6,-6,1,2,1,-123721.8,19798.11,90172470,96393779,,3,18,T,2,6
product,90001838,-16,7,-6,1,2,2,-123721.8,26357.57,90172470,96393780,,3,17,T,2,6
product,90001838,-16,8,-6,1,2,3,-123721.8,32917.03,90172470,96393781,,3,16,T,2,6
product,90001838,-16,9,-6,1,2,4,-123721.8,39476.49,90172470,96393782,,3,15,T,2,6
product,90001838,-16,10,-6,2,2,0,-123721.8,46035.95,90172471,96393793,,3,14,T,2,7
product,90001838,-16,11,-6,2,2,1,-123721.8,52595.41,90172471,96393794,,3,13,T,2,7
product,90001838,-16,12,-6,2,2,2,-123721.8,59154.87,90172471,96393795,,3,12,T,2,7
product,90001838,-16,13,-6,2,2,3,-123721.8,65714.33,90172471,96393796,,3,11,T,2,7
product,90001838,-16,14,-6,2,2,4,-123721.8,72273.79,90172471,96393797,,3,10,T,2,7
product,90001838,-16,15,-6,3,2,0,-123721.8,78833.25,90172472,96393808,,3,9,P,2,8
product,90001838,-16,16,-6,3,2,1,-123721.8,85392.71,90172472,96393809,,3,8,P,2,8
product,90001838,-16,17,-6,3,2,2,-123721.8,91952.17,90172472,96393810,,3,7,P,2,8
product,90001838,-16,18,-6,3,2,3,-123721.8,98511.63,90172472,96393811,,3,6,P,2,8
product,90001838,-16,19,-6,3,2,4,-123721.8,105071.09,90172472,96393812,,3,5,P,2,8
